ticket_id,date_submitted,customer_id,category,subcategory,priority,status,agent_assigned,resolution_time_hours,satisfaction_score,ticket_description,resolution_notes,is_recurrence,prior_ticket_ids,suggested_priority,suggested_category,suggested_subcategory,explanation
TKT-001,2024-01-03,CUST-4421,Model Output,Hallucination,High,Resolved,Sarah J.,4.5,3.0,Model is giving completely wrong answers about our product inventory. It's saying we have items in stock that we discontinued 6 months ago.,Refreshed knowledge base with updated product catalogue. Customer advised to implement periodic retraining schedule.,False,,Medium,Model Output,Knowledge Base Accuracy,The issue stemmed from stale data in the knowledge base rather than a platform defect. Suggest tracking this as an operational onboarding improvement for the client's data synchronization process.
TKT-002,2024-01-04,CUST-2891,Integration,API Timeout,,Resolved,Marcus T.,2.0,5.0,API calls timing out after 30 seconds when processing large batches,Increased timeout limit. Recommended async processing for batches >100 items.,False,,Medium,Integration,API Timeout,"The issue was resolved by increasing the timeout limit and providing architectural guidance on async processing. No further action is required, but the customer's recommendation should be tracked for recurring architectural bottlenecks."
TKT-003,2024-01-04,CUST-3310,Billing,Overage Charges,Low,Resolved,Priya K.,1.0,4.0,Being charged for API calls that returned errors. Shouldn't be billed for failed calls.,Credits applied. Bug escalated to billing team.,False,,Medium,Billing,Billing Accuracy,"The customer reported charges for failed API calls, which is a billing policy discrepancy. While already resolved for this user, the underlying bug requires monitoring to prevent recurring overage disputes."
TKT-004,2024-01-05,CUST-4421,Model Output,Inconsistency,High,Resolved,Sarah J.,6.0,2.0,Same question asked twice gets two different answers. This is unacceptable for our compliance use case. We need deterministic outputs.,Explained temperature settings. Customer set temp=0 but flagged that determinism not fully guaranteed at scale. Escalated to product team.,True,TKT-001,Medium,Model Output,Determinism,The customer is reporting issues with output consistency despite using temperature=0; this requires product management to clarify architectural constraints for compliance-heavy use cases.
TKT-006,2024-01-08,CUST-5502,,API Error,,Open,,,,Getting 429 errors constantly. We're well within our rate limits according to our dashboard.,,False,,High,Integration,Rate Limiting,"The user reports persistent 429 errors despite remaining under their quota, which suggests a potential backend sync issue or inaccurate dashboard reporting that requires immediate investigation."
TKT-007,2024-01-08,CUST-2234,Model Output,Bias,High,Escalated,Priya K.,,,Confirmed bias patterns in testing. Escalated to model team. Customer offered interim mitigation strategies.,,False,,High,Model Output,Bias,This is a confirmed model bias issue that has already been escalated to the model team; continue monitoring for resolution timelines to keep the customer informed.
TKT-008,2024-01-09,CUST-6671,Integration,Webhook,Low,Resolved,Tom W.,1.5,5.0,Webhooks not firing when job completes,Missing trailing slash in endpoint URL. Customer updated config.,False,,Low,Integration,Webhook,"The issue was identified as a user configuration error regarding the endpoint URL; since it is now resolved, the priority remains low."
TKT-009,2024-01-10,CUST-3310,Model Output,Hallucination,High,Resolved,Sarah J.,8.0,1.0,Model is confidently citing sources that don't exist. Our legal team is furious. We deployed this for contract review and it fabricated three case references.,Added explicit instructions to only cite provided documents. Recommended retrieval-augmented approach. Customer very unhappy with initial deployment guidance.,True,TKT-003,High,Model Output,Hallucination,"The customer is using the model for sensitive legal applications and experienced critical accuracy failures, leading to significant dissatisfaction with previous guidance. Given the recurring nature and high-stakes use case, this requires a proactive account review to ensure the implementation of RAG or grounding techniques is successful."
TKT-010,2024-01-10,CUST-4892,Billing,,Low,Resolved,Priya K.,0.5,5.0,How do I download my invoice?,Sent invoice download instructions.,False,,Low,Billing,Invoice Management,"The user is asking a standard how-to question regarding invoice access, which is a routine administrative query."
TKT-011,2024-01-11,CUST-1155,Performance,Latency,Medium,Resolved,Marcus T.,2.0,4.0,Latency issue from TKT-005 returned. Getting 8-12 second response times.,Identified peak load period. Suggested off-peak scheduling for batch jobs. Monitoring added.,False,,High,Performance,Latency,"This is a recurring latency issue that previously required intervention, suggesting the initial resolution was insufficient for the customer's production needs. Engineering should investigate if current rate limits or infrastructure capacity are causing persistent performance bottlenecks."
TKT-012,2024-01-11,CUST-7743,Model Output,Context Window,,Resolved,Tom W.,3.0,3.0,Model seems to forget earlier parts of long conversations. By message 15-20 it's lost context from the beginning.,Explained context window limits. Recommended conversation summarisation pattern.,False,,Low,Model Output,Context Window,"The user reached the model's token limit during a long conversation, which is expected behavior. The ticket is resolved and requires no further action as the customer was provided with guidance on implementing summarization patterns."
